Time,Y
0,3.639382
0.01,3.616479
0.02,3.684588
0.03,3.850293
0.04,4.163442
0.05,4.45309
0.06,4.577032
0.07,4.654571
0.08,4.713398
0.09,4.641248
0.1,4.550836
0.111,4.434828
0.121,4.210295
0.131,3.989653
0.141,3.849245
0.151,3.861071
0.161,3.92873
0.171,3.988157
0.181,4.030069
0.191005126953125,4.070336
0.201,4.117039
0.211,4.223467
0.221,4.27047
0.231,4.214037
0.240994873046875,4.168681
0.251,4.123176
0.261,4.074228
0.271,4.054319
0.281,4.110003
0.291,4.161646
0.301,4.171076
0.311,4.167484
0.321,4.181405
0.331,4.14982
0.341,4.149521
0.351,4.153263
0.361,4.175267
0.371,4.123176
0.381,4.080215
0.391,4.05372
0.402,4.047134
0.412,4.038153
0.422,3.966302
0.432,3.954028
0.442,3.977529
0.452,4.01076
0.462,4.053121
0.472,4.117637
0.482,4.121978
0.492,4.118685
0.502,4.169729
0.512,4.210594
0.522,4.176315
0.532,4.00088
0.542,3.98157
0.552,3.948938
0.561994873046875,3.831283
0.572,3.782933
0.582,4.019292
0.592,4.503385
0.602,4.742288
0.612,4.831203
0.622,4.699777
0.632,4.288432
0.642,3.934568
0.652,3.838318
0.662,3.787125
0.672,3.608696
0.682,3.595673
0.693,3.670517
0.703,3.504213
0.713,3.272944
0.723,3.149451
0.733,3.118166
0.743,3.257526
0.753,3.564987
0.763,3.766168
0.773,3.856281
0.783,3.93831
0.793,3.96705
0.803,3.88547
0.813,3.831582
0.823,3.774551
0.833,3.704047
0.843,3.666176
0.853,3.727698
0.863,3.708987
0.873,3.676505
0.883,3.605403
0.893,3.536845
0.903,3.553011
0.913,3.556604
0.923,3.536695
0.933,3.48625
0.943,3.357817
0.953,3.316952
0.963,3.318449
0.973,3.295098
0.984,3.276686
0.994,3.244802
1.004,3.239414
1.014,3.238216
1.024,3.297044
1.034,3.293002
1.044,3.320994
1.054,3.346441
1.064,3.342998
1.074,3.333119
1.084,3.328329
1.094,3.324287
1.104,3.341651
1.114,3.380121
1.124,3.41425
1.134,3.449277
1.144,3.451523
1.154,3.442392
1.164,3.400179
1.174,3.339106
1.184,3.31785
1.194,3.337759
1.204,3.327131
1.214,3.290008
1.224,3.281177
1.234,3.32279
1.244,3.382217
1.254,3.426674
1.264,3.442541
1.275,3.408562
1.285,3.436254
1.295,3.460504
1.305,3.476221
1.315,3.465743
1.325,3.456313
1.335,3.443739
1.345,3.388204
1.355,3.343747
1.365,3.38521
1.375,3.426225
1.385,3.469635
1.395,3.464246
1.405,3.397934
1.415,3.422932
1.425,3.417244
1.435,3.396287
1.445,3.4141
1.455,3.410508
1.465,3.409161
1.475,3.480412
1.485,3.424429
1.495,3.446134
1.505,3.376678
1.515,3.388653
1.525,3.373984
1.535,3.411107
1.545,3.467539
1.555,3.468288
1.566,3.442242
1.576,3.523074
1.586,3.602708
1.596,3.593577
1.606,3.462749
1.616,3.364703
1.626,3.335813
1.636,3.234174
1.646,3.147505
1.656,3.201243
1.666,3.2219
1.676,3.314557
1.686,3.456762
1.696,3.566933
1.706,3.579955
1.716,3.560496
1.726,3.563041
1.736,3.60166
1.746,3.580854
1.756,3.500471
1.766,3.273393
1.776,3.103197
1.786,3.195255
1.796,3.318749
1.806,3.365901
1.816,3.578758
1.826,4.17422
1.836,4.603677
1.846,4.59739
1.857,4.503535
1.867,4.324657
1.87699487304688,4.107009
1.887,4.057313
1.897,4.209546
1.907,4.254453
1.917,4.103866
1.927,4.26538
1.937,4.302653
1.947,3.523074
1.957,3.223098
1.967,3.159929
1.977,2.993026
1.987,2.969225
1.997,2.963986
2.007,2.713857
2.017,2.552941
2.027,2.555486
2.037,2.882556
2.047,3.479664
2.057,3.414849
2.067,3.388204
2.077,2.852618
2.087,3.166066
2.097,3.248545
2.107,2.556234
2.117,2.300416
2.127,3.190465
2.137,3.974984
2.14800537109375,3.759732
2.158,3.33716
2.168,3.143763
2.178,3.210374
2.188,3.392695
2.19799487304687,3.608696
2.208,3.951782
2.218,4.229155
2.228,4.384233
2.238,4.272266
2.248,4.273613
2.258,4.384233
2.268,4.098327
2.278,3.862418
2.288,3.892056
2.298,4.102219
2.308,4.244274
2.318,4.201613
2.328,3.958818
2.338,3.552712
2.348,3.204536
2.358,2.963238
2.368,2.645748
2.378,2.531685
2.388,2.875969
2.398,3.185077
2.408,3.36126
2.418,3.562142
2.428,3.797004
2.439,4.002527
2.449,4.137845
2.459,4.081413
2.469,4.022735
2.479,4.259393
2.489,4.375701
2.499,4.17886
2.509,3.826642
2.519,3.673511
2.529,3.923042
2.539,4.12108
2.549,3.847898
2.559,3.509452
2.569,3.225493
2.579,2.8851
2.589,2.47645
2.599,2.017505
2.609,1.551673
2.619,1.142275
2.629,0.803379
2.639,0.624501
2.649,0.543969
2.659,0.464484
2.669,0.495769
2.679,0.685724
2.689,0.850382
2.699,1.021626
2.709,1.16847
2.719,1.355282
2.729,1.474584
2.74,1.56275
2.75,1.650468
2.76,1.697919
2.77,1.794169
2.78,1.873654
2.79,1.979484
2.8,2.142644
2.81,2.334845
2.82,2.472109
2.83,2.438878
2.84,2.336042
2.85,2.249073
2.86,2.127226
2.87,1.919009
2.88,1.770219
2.89,1.680256
2.9,1.660647
2.91,1.62547
2.92,1.665586
2.93,1.758543
2.94,1.783541
2.95,1.826651
2.96,1.888922
2.97,1.88024
2.98,1.853895
2.99,1.842518
3,1.800007
3.01,1.788631
3.02,1.810335
3.031,1.769171
3.041,1.733395
3.051,1.723965
3.061,1.695973
3.071,1.66409
3.081,1.639091
3.091,1.637295
3.101,1.600771
3.111,1.555266
3.121,1.545686
3.131,1.531166
3.141,1.494193
3.151,1.448388
3.161,1.421145
3.171,1.386567
3.181,1.393003
3.191,1.449735
3.201,1.496139
3.211,1.521885
3.221,1.55826
3.231,1.603915
3.241,1.613644
3.251,1.629511
3.261,1.665137
3.271,1.733545
3.281,1.767674
3.291,1.764231
3.301,1.789828
3.311,1.814227
3.322,1.815874
3.332,1.776356
3.342,1.739982
3.352,1.729953
3.362,1.712289
3.372,1.742826
3.382,1.787433
3.392,1.81288
3.402,1.90449
3.412,1.939367
3.422,1.895808
3.432,1.866169
3.442,1.849853
3.452,1.853745
3.462,1.937571
3.472,1.994602
3.482,2.056424
3.492,2.111958
3.502,2.162553
3.512,2.195035
3.522,2.246379
3.532,2.353855
3.542,2.537523
3.552,2.736609
3.562,2.977309
3.572,3.155289
3.582,3.188669
3.592,3.222798
3.602,3.175646
3.613,2.953059
3.623,2.749033
3.633,2.45729
3.643,1.992207
3.653,1.646127
3.663,1.592987
3.673,1.664239
3.683,1.757346
3.693,1.765279
3.703,1.598975
3.713,1.504671
3.723,1.329086
